season,celebrity_name,placement_sim,eliminated_week_sim,method,use_bottom2
27,Evanna Lynch,1,9,percent,True
27,Milo Manheim,2,9,percent,True
27,Alexis Ren,3,9,percent,True
27,Juan Pablo Di Pace,4,9,percent,True
27,Bobby Bones,5,8,percent,True
27,John Schneider,6,8,percent,True
27,DeMarcus Ware,7,7,percent,True
27,Tinashe,8,7,percent,True
27,Mary Lou Retton,9,6,percent,True
27,Nancy McKeon,10,4,percent,True
27,Nikki Glaser,11,3,percent,True
27,Danelle Umstead,12,2,percent,True
27,Joe Amabile,13,1,percent,True
