season,week,celebrity_name,observed_in_data,judge_percent_sim,fan_vote_percent_sim,judge_rank_sim,fan_vote_rank_sim,combined_percent_sim,combined_rank_sum_sim,overall_rank_sim
2,1,Master P,1,0.061938061938061936,0.1148851148851149,10,1,0.17682317682317683,11,9
2,1,Drew Lachey,1,0.12287712287712288,0.1058941058941059,1,2,0.2287712287712288,3,1
2,1,Giselle Fernandez,1,0.11788211788211787,0.08491508491508493,2,9,0.2027972027972028,11,6
2,1,George Hamilton,1,0.0919080919080919,0.1018981018981019,8,6,0.1938061938061938,14,8
2,1,Jerry Rice,1,0.1078921078921079,0.1058941058941059,5,3,0.21378621378621382,8,3
2,1,Lisa Rinna,1,0.0969030969030969,0.1028971028971029,7,5,0.1998001998001998,12,7
2,1,Kenny Mayne,1,0.06693306693306694,0.08391608391608392,9,10,0.15084915084915085,19,10
2,1,Stacy Keibler,1,0.1128871128871129,0.1058941058941059,4,4,0.2187812187812188,8,2
2,1,Tatum O'Neal,1,0.11788211788211787,0.0929070929070929,3,8,0.21078921078921076,11,4
2,1,Tia Carrere,1,0.1028971028971029,0.1008991008991009,6,7,0.20379620379620378,13,5
2,2,Drew Lachey,1,0.13625164218675467,0.12320138854661734,2,1,0.259453030733372,3,2
2,2,Giselle Fernandez,1,0.12111257083267082,0.08874676293612267,3,9,0.2098593337687935,12,7
2,2,George Hamilton,1,0.11101985659661492,0.11589283159893667,5,5,0.2269126881955516,10,4
2,2,Jerry Rice,1,0.11606621371464289,0.12320138854661734,4,2,0.23926760226126023,6,3
2,2,Lisa Rinna,1,0.10092714236055902,0.11693691116289105,7,4,0.21786405352345006,11,6
2,2,Kenny Mayne,0,0.07147029028285694,0.09269485892363999,9,8,0.16416514920649694,17,9
2,2,Stacy Keibler,1,0.14634435642281057,0.12320138854661734,1,3,0.2695457449694279,4,1
2,2,Tatum O'Neal,1,0.08578807100647516,0.10127571770357528,8,7,0.18706378871005044,15,8
2,2,Tia Carrere,1,0.11101985659661492,0.11484875203498228,6,6,0.2258686086315972,12,5
2,3,Drew Lachey,1,0.14610627078816493,0.14137960376792005,1,1,0.287485874556085,2,1
2,3,Giselle Fernandez,1,0.11945174841464837,0.07807530357332898,6,8,0.19752705198797735,14,8
2,3,George Hamilton,1,0.11945174841464837,0.1297738153989117,5,5,0.24922556381356006,10,5
2,3,Jerry Rice,1,0.10266927136465645,0.14137960376792005,7,2,0.2440488751325765,9,6
2,3,Lisa Rinna,1,0.13524702093228783,0.1318839587387314,4,4,0.26713097967101923,8,4
2,3,Stacy Keibler,1,0.14610627078816493,0.14137960376792005,2,3,0.287485874556085,5,2
2,3,Tatum O'Neal,0,0.08979742117102645,0.10951951059608561,8,7,0.19931693176711207,15,7
2,3,Tia Carrere,1,0.1411702481264026,0.12660860038918212,3,6,0.26777884851558476,9,3
2,4,Drew Lachey,1,0.1636553102688416,0.16445140807557718,1,1,0.32810671834441874,2,1
2,4,Giselle Fernandez,0,0.1216240409299463,0.08590645900848005,7,7,0.20753049993842637,14,7
2,4,George Hamilton,1,0.12297263426980753,0.14095834977906616,6,5,0.2639309840488737,11,6
2,4,Jerry Rice,1,0.1405401534512086,0.16445140807557718,5,2,0.30499156152678575,7,3
2,4,Lisa Rinna,1,0.15256003499637777,0.14522981492388634,2,4,0.29778984992026414,6,4
2,4,Stacy Keibler,1,0.15256003499637777,0.16445140807557718,3,3,0.31701144307195495,6,2
2,4,Tia Carrere,1,0.14608779108744052,0.13455115206183588,4,6,0.2806389431492764,10,5
2,5,Drew Lachey,1,0.17882117882117882,0.18699999999999997,2,1,0.3658211788211788,3,2
2,5,George Hamilton,1,0.15884115884115885,0.147,4,5,0.3058411588411588,9,5
2,5,Jerry Rice,1,0.15184815184815184,0.18699999999999997,5,2,0.3388481518481518,7,3
2,5,Lisa Rinna,1,0.16583416583416585,0.155,3,4,0.32083416583416585,7,4
2,5,Stacy Keibler,1,0.19880119880119881,0.18699999999999997,1,3,0.3858011988011988,4,1
2,5,Tia Carrere,1,0.14585414585414586,0.137,6,6,0.28285414585414587,12,6
2,6,Drew Lachey,1,0.22577422577422576,0.22522522522522523,1,1,0.450999450999451,2,1
2,6,George Hamilton,1,0.1728271728271728,0.15515515515515516,4,5,0.32798232798232796,9,5
2,6,Jerry Rice,1,0.1728271728271728,0.22522522522522523,5,2,0.398052398052398,7,3
2,6,Lisa Rinna,1,0.20279720279720279,0.1691691691691692,3,4,0.37196637196637194,7,4
2,6,Stacy Keibler,1,0.22577422577422576,0.22522522522522523,2,3,0.450999450999451,5,2
2,7,Drew Lachey,1,0.2697302697302697,0.27372627372627373,1,1,0.5434565434565435,2,1
2,7,Jerry Rice,1,0.2007992007992008,0.27372627372627373,4,2,0.47452547452547456,6,3
2,7,Lisa Rinna,1,0.2597402597402597,0.1788211788211788,3,4,0.4385614385614385,7,4
2,7,Stacy Keibler,1,0.2697302697302697,0.27372627372627373,2,3,0.5434565434565435,5,2
2,8,Drew Lachey,1,0.3393309641206623,0.3728891634766939,1,1,0.7122201275973562,2,1
2,8,Lisa Rinna,0,0.3252837806437993,0.25422167304661214,3,3,0.5795054536904114,6,3
2,8,Stacy Keibler,1,0.33538525523553836,0.3728891634766939,2,2,0.7082744187122323,4,2
