season,celebrity_name,placement_sim,eliminated_week_sim,method,use_bottom2
29,Justina Machado,1,11,percent,False
29,Kaitlyn Bristowe,2,11,percent,False
29,Nev Schulman,3,11,percent,False
29,Nelly,4,11,percent,False
29,Skai Jackson,5,10,percent,False
29,Johnny Weir,6,10,percent,False
29,AJ McLean,7,9,percent,False
29,Chrishell Stause,8,8,percent,False
29,Jeannie Mai,9,7,percent,False
29,Monica Aldama,10,7,percent,False
29,Veron Davis,11,6,percent,False
29,Jesse Metcalfe,12,5,percent,False
29,Anne Heche,13,4,percent,False
29,Carole Baskin,14,3,percent,False
29,Charles Oakley,15,2,percent,False
