season,week,celebrity_name,observed_in_data,judge_percent_sim,fan_vote_percent_sim,judge_rank_sim,fan_vote_rank_sim,combined_percent_sim,combined_rank_sum_sim,overall_rank_sim
29,1,Anne Heche,1,0.06906906906906907,0.06593406593406594,7,13,0.135003135003135,20,11
29,1,Jesse Metcalfe,1,0.06906906906906907,0.06693306693306694,9,4,0.136002136002136,13,5
29,1,Monica Aldama,1,0.07307307307307306,0.06693306693306694,5,8,0.14000614000614,13,6
29,1,Carole Baskin,1,0.04204204204204204,0.06593406593406594,15,14,0.10797610797610797,29,14
29,1,Johnny Weir,1,0.06906906906906907,0.06693306693306694,10,5,0.136002136002136,15,10
29,1,Charles Oakley,1,0.04604604604604604,0.06493506493506494,14,15,0.11098111098111099,29,15
29,1,Justina Machado,1,0.08108108108108109,0.06693306693306694,1,6,0.14801414801414803,7,2
29,1,AJ McLean,1,0.06906906906906907,0.06693306693306694,6,1,0.136002136002136,7,1
29,1,Kaitlyn Bristowe,1,0.07707707707707707,0.06693306693306694,3,7,0.144010144010144,10,3
29,1,Jeannie Mai,1,0.06906906906906907,0.06693306693306694,8,3,0.136002136002136,11,4
29,1,Nelly,1,0.06206206206206205,0.06693306693306694,12,9,0.128995128995129,21,12
29,1,Chrishell Stause,1,0.050050050050050046,0.06693306693306694,13,2,0.11698311698311699,15,9
29,1,Nev Schulman,1,0.07707707707707707,0.06693306693306694,4,10,0.144010144010144,14,8
29,1,Veron Davis,1,0.06506506506506507,0.06693306693306694,11,12,0.131998131998132,23,13
29,1,Skai Jackson,1,0.08108108108108109,0.06693306693306694,2,11,0.14801414801414803,13,7
29,2,Anne Heche,1,0.0658682634730539,0.06606606606606606,6,13,0.13193432953911996,19,10
29,2,Jesse Metcalfe,1,0.07285429141716566,0.06706706706706707,4,5,0.13992135848423273,9,2
29,2,Monica Aldama,1,0.05888223552894212,0.06706706706706707,13,9,0.12594930259600917,22,11
29,2,Carole Baskin,1,0.05888223552894212,0.06506506506506507,12,14,0.12394730059400719,26,13
29,2,Johnny Weir,1,0.0658682634730539,0.06706706706706707,9,6,0.13293533054012097,15,9
29,2,Charles Oakley,1,0.054890219560878244,0.06306306306306306,14,15,0.11795328262394131,29,15
