season,celebrity_name,placement_sim,eliminated_week_sim,method,use_bottom2
17,Amber Riley,1,11,percent,True
17,Corbin Bleu,2,11,percent,True
17,Jack Osbourne,3,11,percent,True
17,Elizabeth Berkley Lauren,4,11,percent,True
17,Brant Daugherty,5,10,percent,True
17,Bill Engvall,6,9,percent,True
17,"Nicole ""Snooki"" Polizzi",7,8,percent,True
17,Christina Milian,8,7,percent,True
17,Leah Remini,9,5,percent,True
17,Keyshawn Johnson,10,4,percent,True
17,Valerie Harper,11,3,percent,True
17,Bill Nye,12,2,percent,True
