season,week,celebrity_name,judge_percent,judge_rank,eliminated_this_week,rule_type,baseline_share,min_feasible_share,max_feasible_share
1,1,Joey McIntyre,0.183,1,0,S1-2_rank,0.19117990902153495,0.0,0.9999999999999987
1,1,John O'Hurley,0.183,1,0,S1-2_rank,0.18420009985184235,0.0,1.0
1,1,Rachel Hunter,0.183,1,0,S1-2_rank,0.14502504021185395,1.4795401647362023e-16,0.9999999999999976
1,1,Evander Holyfield,0.165,4,0,S1-2_rank,0.17825943245351356,0.0,0.9999999999999925
1,1,Trista Sutter,0.165,4,0,S1-2_rank,0.11713540630222855,0.0,1.0
1,1,Kelly Monaco,0.119,6,0,S1-2_rank,0.18420011215902657,0.0,0.9999999999999987
1,2,John O'Hurley,0.215,1,0,S1-2_rank,0.18992843129312906,0.0,0.8523642898048831
1,2,Rachel Hunter,0.198,2,0,S1-2_rank,0.13879753914832713,0.0,0.852364289807538
1,2,Joey McIntyre,0.174,3,0,S1-2_rank,0.19876784308300705,0.0,0.8523642898087099
1,2,Trista Sutter,0.157,4,1,S1-2_rank,0.10022912952296323,2.576607064970155e-16,0.19223608368300474
1,2,Kelly Monaco,0.14,5,0,S1-2_rank,0.18992843731554476,0.04470104301573477,0.8901387887013791
1,2,Evander Holyfield,0.116,6,0,S1-2_rank,0.18234861963702884,0.09105071580237811,0.9576351072861952
1,3,Rachel Hunter,0.245,1,0,S1-2_rank,0.14125637843708633,0.0,0.9999999999999779
1,3,John O'Hurley,0.226,2,0,S1-2_rank,0.22391123664878693,3.321793363973414e-17,0.9999999999999745
1,3,Joey McIntyre,0.208,3,0,S1-2_rank,0.23716550214090984,0.0,1.0
1,3,Kelly Monaco,0.198,4,0,S1-2_rank,0.22391123137230354,1.6374841566088504e-15,0.9999999999999997
1,3,Evander Holyfield,0.123,5,1,S1-2_rank,0.17375565140091342,2.7755575615628914e-17,0.44789452973952393
1,4,Kelly Monaco,0.283,1,0,S1-2_rank,0.2791669758959249,2.4515323306642165e-13,0.4713225339567234
1,4,Rachel Hunter,0.272,2,1,S1-2_rank,0.14195450263499232,0.0,0.19506874131898586
1,4,John O'Hurley,0.228,3,0,S1-2_rank,0.2791669983343197,0.07563075430562664,0.4999818441473341
1,4,Joey McIntyre,0.217,4,0,S1-2_rank,0.29971152313476324,0.29970297418980335,0.919528109333501
1,5,John O'Hurley,0.37,1,0,S1-2_rank,0.3659718893152155,6.071225286696642e-11,1.0
1,5,Kelly Monaco,0.322,2,0,S1-2_rank,0.3659718655402639,2.4341639814906557e-14,1.0
1,5,Joey McIntyre,0.308,3,1,S1-2_rank,0.2680562451445205,1.1102230246251565e-16,0.6782458608378269
1,6,Kelly Monaco,0.505,1,0,S1-2_rank,0.4999999953934841,0.0,1.0
1,6,John O'Hurley,0.495,2,0,S1-2_rank,0.500000004606516,0.0,1.0
2,1,Drew Lachey,0.123,1,0,S1-2_rank,0.10610361826792712,1.124100812432971e-15,0.977400743856397
2,1,Giselle Fernandez,0.118,2,0,S1-2_rank,0.08470181240691782,0.0,0.9774007447268672
2,1,Tatum O'Neal,0.118,2,0,S1-2_rank,0.09258040975555222,3.891317112974017e-16,0.9774007447268285
