season,week,n_w,omega,tauCJ_rank,tauCF_rank,BI_rank,tauCJ_percent,tauCF_percent,BI_percent,judge_fan_identical
1,1,6,15,0.6446583712203042,0.5520524474738834,-0.046302961873210424,0.5449492609130661,0.6,0.02752536954346696,False
1,2,6,15,0.5962847939999439,0.5962847939999439,0.0,0.6,0.4666666666666666,-0.06666666666666668,False
1,3,5,10,0.5270462766947299,0.5270462766947299,0.0,0.39999999999999997,0.6,0.1,False
1,4,4,6,0.18257418583505539,0.18257418583505539,0.0,0.0,0.3333333333333334,0.1666666666666667,False
1,5,3,3,1.0,1.0,0.0,1.0,1.0,0.0,True
1,6,2,1,0.0,0.0,0.0,1.0,-1.0,-1.0,False
2,1,10,45,0.5681818181818181,0.40451991747794525,-0.08183095035193644,0.7191465199607916,0.24444444444444444,-0.23735103775817357,False
2,2,9,36,0.5296408977028497,0.6092717958449424,0.03981544907104634,0.6479515952918627,0.4444444444444444,-0.10175357542370916,False
2,3,8,28,0.3846153846153847,0.5929994533288809,0.10419203435674812,0.830336491706037,0.10910894511799618,-0.3606137732940204,False
2,4,7,21,0.6499999999999999,0.5855400437691199,-0.03222997811543998,0.7807200583588265,0.4285714285714286,-0.17607431489369896,False
2,5,6,15,0.6900655593423541,0.8280786712108251,0.06900655593423549,0.7333333333333333,0.7333333333333333,0.0,False
2,6,5,10,0.6708203932499368,0.7999999999999999,0.06458980337503156,0.7071067811865475,0.7378647873726218,0.015379003093037191,False
2,7,4,6,0.7999999999999999,0.912870929175277,0.05643546458763854,0.6,0.912870929175277,0.15643546458763852,False
2,8,3,3,1.0,1.0,0.0,1.0,1.0,0.0,True
3,1,11,55,0.710311395183256,0.7964328705698839,0.04306073769331392,0.9720050670928767,0.5371291452680612,-0.21743796091240775,False
3,2,10,45,0.5954068852869262,0.522862326927363,-0.0362722791797816,0.7229440390678199,0.4140393356054125,-0.1544523517312037,False
3,3,9,36,0.4140043409440133,0.34299717028501764,-0.03550358532949782,0.5413902920037097,0.22866478019001177,-0.15636275590684895,False
3,4,8,28,0.6667948594698258,0.7412493166611012,0.03722722859563771,0.6158402871356008,0.7637626158259734,0.07396116434518629,False
3,5,7,21,0.7768985960673558,0.6831300510639733,-0.04688427250169125,0.5976143046671969,0.7807200583588265,0.09155287684581481,False
3,6,5,10,0.9486832980505138,0.9486832980505138,0.0,0.9999999999999999,0.7999999999999999,-0.09999999999999998,False
3,7,5,10,0.8888888888888888,0.7378647873726218,-0.0755120507581335,0.7378647873726218,0.7999999999999999,0.031067606313689045,False
3,8,4,6,0.9128709291752769,1.0,0.04356453541236155,0.9128709291752769,1.0,0.04356453541236155,False
3,9,3,3,0.0,1.0,0.5,0.0,0.816496580927726,0.408248290463863,False
3,10,2,1,0.0,1.0,0.5,0.0,0.0,0.0,False
4,1,11,55,0.6344412685745154,0.5449492609130661,-0.04474600383072469,0.9446064278852111,0.16363636363636364,-0.39048503212442376,False
4,2,11,55,0.7276068751089989,0.6608480480431908,-0.03337941353290408,0.8445997664172652,0.5137830903923016,-0.16540833801248178,False
4,3,10,45,0.5726371269248889,0.3026531281668172,-0.13499199937903583,0.7286524160629287,0.13483997249264842,-0.29690622178514015,False
4,4,9,36,0.7247137945655605,0.7606388292556648,0.017962517345052165,0.8574929257125441,0.611111111111111,-0.12319090730071652,False
4,5,8,28,0.7857142857142856,0.8571428571428571,0.035714285714285754,0.9999999999999998,0.6428571428571428,-0.1785714285714285,False
4,6,7,21,0.8783100656536799,0.8095238095238096,-0.03439312806493511,0.8720815992723808,0.85106449634699,-0.010508551462695415,False
4,7,6,15,0.7877263614433762,0.8666666666666666,0.039470152611645215,0.9230769230769231,0.7877263614433762,-0.06767528081677349,False
4,8,5,10,0.9486832980505138,0.9486832980505138,0.0,0.9999999999999999,0.7999999999999999,-0.09999999999999998,False
4,9,4,6,0.9128709291752769,0.6666666666666669,-0.12310213125430503,1.0,0.5477225575051662,-0.2261387212474169,False
4,10,3,3,0.816496580927726,0.816496580927726,0.0,1.0,0.33333333333333337,-0.3333333333333333,False
5,1,12,66,0.6795295885835007,0.5737985964123903,-0.052865496085555186,0.8864165306075162,0.3511552695176641,-0.2676306305449261,False
5,2,11,55,0.6757246285173463,0.5741725345968929,-0.050776046960226695,0.8600131635675315,0.38895558795273394,-0.2355287878073988,False
5,3,10,45,0.7711403083390078,0.6440611887195306,-0.06353955980973863,0.8946750577612211,0.49441323247304414,-0.2001309126440885,False
5,4,9,36,0.6038596398555418,0.7253235664820744,0.0607319633132663,0.6172133998483676,0.6479515952918627,0.015369097721747549,False
5,5,8,28,0.5604485383178051,0.5400617248673217,-0.01019340672524166,0.9615384615384617,0.07412493166611012,-0.4437067649361758,False
5,6,7,21,0.8499999999999999,0.7807200583588265,-0.034639970820586674,0.7499999999999999,0.8783100656536799,0.06415503282683999,False
5,7,6,15,0.7857142857142858,0.9660917830792959,0.09018874868250504,0.7142857142857143,0.9660917830792959,0.1259030343967908,False
5,8,5,10,0.7745966692414834,0.7745966692414834,0.0,0.39999999999999997,0.7999999999999999,0.19999999999999998,False
5,9,4,6,0.5477225575051662,0.3333333333333334,-0.10719461208591638,0.6,0.18257418583505539,-0.2087129070824723,False
5,10,3,3,0.0,0.0,0.0,1.0,-1.0,-1.0,False
6,1,12,66,0.7842258895889879,0.67700320038633,-0.053611344601328936,0.9298547766256364,0.5151515151515151,-0.20735163073706064,False
6,2,12,66,0.8480271373025975,0.8754275592730113,0.013700210985206906,0.9532413695749408,0.7175781594491397,-0.11783160506290052,False
6,3,10,45,0.6759263694193746,0.5393598899705937,-0.06828323972439043,0.8207677342949549,0.40451991747794525,-0.2081239084085048,False
6,4,9,36,0.8665407417674353,0.8733260632194672,0.003392660726015906,0.9398255470157902,0.8003267306650411,-0.06974940817537456,False
6,5,8,28,0.7925939239012171,0.836501912571304,0.02195399433504347,0.8894991799933215,0.7142857142857142,-0.08760673285380366,False
6,6,7,21,0.6831300510639733,0.6190476190476191,-0.03204121600817711,0.7499999999999999,0.5855400437691199,-0.08222997811543997,False
6,7,6,15,0.6900655593423543,0.7333333333333333,0.021633886995489515,0.5520524474738833,0.8666666666666666,0.15730710959639166,False
6,8,5,10,0.7378647873726218,0.5270462766947299,-0.10540925533894596,0.6,0.6,0.0,False
6,9,4,6,0.7071067811865477,0.7071067811865477,0.0,1.0,0.0,-0.5,False
