season,week,n_w,omega,tauCJ_rank,tauCF_rank,BI_rank,tauCJ_percent,tauCF_percent,BI_percent,judge_fan_identical
1,6,2,1,0.0,0.0,0.0,1.0,-1.0,-1.0,False
2,4,7,21,0.6499999999999999,0.5855400437691199,-0.03222997811543998,0.7807200583588265,0.4285714285714286,-0.17607431489369896,False
3,3,9,36,0.4140043409440133,0.34299717028501764,-0.03550358532949782,0.5413902920037097,0.22866478019001177,-0.15636275590684895,False
3,4,8,28,0.6667948594698258,0.7412493166611012,0.03722722859563771,0.6158402871356008,0.7637626158259734,0.07396116434518629,False
4,1,11,55,0.6344412685745154,0.5449492609130661,-0.04474600383072469,0.9446064278852111,0.16363636363636364,-0.39048503212442376,False
4,2,11,55,0.7276068751089989,0.6608480480431908,-0.03337941353290408,0.8445997664172652,0.5137830903923016,-0.16540833801248178,False
4,6,7,21,0.8783100656536799,0.8095238095238096,-0.03439312806493511,0.8720815992723808,0.85106449634699,-0.010508551462695415,False
5,2,11,55,0.6757246285173463,0.5741725345968929,-0.050776046960226695,0.8600131635675315,0.38895558795273394,-0.2355287878073988,False
5,6,7,21,0.8499999999999999,0.7807200583588265,-0.034639970820586674,0.7499999999999999,0.8783100656536799,0.06415503282683999,False
5,10,3,3,0.0,0.0,0.0,1.0,-1.0,-1.0,False
6,1,12,66,0.7842258895889879,0.67700320038633,-0.053611344601328936,0.9298547766256364,0.5151515151515151,-0.20735163073706064,False
6,8,5,10,0.7378647873726218,0.5270462766947299,-0.10540925533894596,0.6,0.6,0.0,False
7,3,9,36,0.7826908981308053,0.7042952122737639,-0.03919784292852069,0.9566222088265398,0.5352643613280604,-0.2106789237492397,False
7,5,8,28,0.6923076923076924,0.5929994533288809,-0.049654119489405735,0.667124384994991,0.5714285714285714,-0.047847906783209826,False
8,1,13,78,0.5695489135379687,0.6234292001593572,0.026940143310694276,0.9271726499455306,0.2597621667330655,-0.33370524160623255,False
8,5,9,36,0.6857142857142857,0.7042952122737639,0.009290463279739092,0.7999999999999999,0.5916079783099616,-0.10419601084501917,False
9,1,16,120,0.8620689655172415,0.8645309671165333,0.0012310007996458872,0.9655172413793104,0.7458698539828915,-0.10982369369820943,False
9,5,10,45,0.6341463414634148,0.8240428163590194,0.09494823744780234,0.878048780487805,0.5886020116850139,-0.14472338440139554,False
9,10,3,3,0.816496580927726,0.816496580927726,0.0,1.0,0.33333333333333337,-0.3333333333333333,False
10,1,11,55,0.6859943405700353,0.6238794669049377,-0.0310574368325488,0.8193821290142088,0.4770842982214229,-0.17114891539639296,False
10,2,11,55,0.6735753140545634,0.5720775535473553,-0.05074888025360402,0.8703703703703703,0.3302891295379082,-0.2700406204162311,False
